SP.DYN.LE00.IN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,AG.LND.AGRI.ZS,EN.ATM.CO2E.KD.GD,SP.DYN.IMRT.IN,SH.DYN.MORT,SH.MED.PHYS.ZS,SH.MED.BEDS.ZS,AG.PRD.FOOD.XD,AG.PRD.CROP.XD,AG.PRD.LVSK.XD,SP.DYN.TFRT.IN,SP.ADO.TFRT,SH.STA.BRTC.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.GROW,EN.POP.DNST,VC.IHR.PSRC.P5,SH.H2O.BASW.ZS,SH.H2O.SMDW.ZS,SH.STA.BASS.ZS,SH.STA.SMSS.ZS,SI.POV.GINI,SE.SEC.UNER.LO.ZS,SE.PRM.UNER.ZS,SE.XPD.TOTL.GD.ZS,SP.DYN.CBRT.IN,SH.XPD.GHED.GD.ZS,SH.XPD.PVTD.CH.ZS,SH.IMM.IDPT,SH.IMM.HEPB,SH.IMM.MEAS,SH.PRV.SMOK,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS
78.74146341,1.842081071,53106.90977,1.464832656,1.754915748,44.36679277,0.325421186,6,7,2.5666,2.9,113.51,108.95,107.87,1.8575,26.3216,99.2,19.61704882,66.47790687,13.90504431,0.686773156,34.5515705,4.5,99.24795496,98.98059802,99.96921296,89.67251153,41,,,4.93105,12.4,7.986786962,51.14373565,94,91,92,23.3,18.701,81.299,100,100
78.84146341,2.451973035,55032.958,1.622222977,1.891891294,44.58803685,0.323489041,5.9,6.9,2.5817,,117.03,114.95,108.75,1.8625,24.7062,98.5,19.41624242,66.31605798,14.2676996,0.727517696,34.80614436,4.5,99.25310176,98.98573095,99.96940672,89.79068226,,2.23353,2.02566,4.96174,12.5,8.28005448,15.83912671,95,92,92,22.8,18.517,81.483,100,100
78.6902439,2.880910466,56803.47243,0.118627136,1.069341659,44.369068,,5.8,6.8,2.5858,,116.61,114.12,108.91,1.8435,23.0908,99.1,19.22372659,66.1333887,14.64288471,0.730641178,35.06373087,5,99.25836288,98.9909779,99.96960722,89.84832914,,0.84613,1.80586,,12.4,8.505196124,15.40201753,95,92,92,22.3,18.329,81.671,100,100
78.53902439,1.56721517,57904.20196,1.261583206,1.093525424,44.369068,,5.8,6.7,2.5948,,122.32,122.19,109.7,1.8205,21.4754,,19.02334248,65.94297877,15.03367875,0.716669413,35.31830199,5.4,99.26370936,98.99630998,99.96981214,89.90689919,41.4,0.30428,0.35997,,12.2,8.618223667,15.47723413,95,93,92,21.8,18.138,81.862,100,100
78.53902439,2.21701033,59927.92983,2.130110004,1.900777538,,,5.7,6.6,,,,,,1.7655,19.86,,18.85852808,65.72210602,15.4193659,0.631007893,35.54522707,5.3,99.26919207,99.00177791,99.97001877,89.96699811,,0.22621,0.38956,,11.8,8.557614684,15.47299325,95,93,92,,17.942,82.058,,100
78.53902439,2.927322728,62794.58565,2.442583297,2.435950607,,,5.6,6.5,,,,,,1.7295,18.5562,,18.70903998,65.48330596,15.80765406,0.522337358,35.76608858,,,,,,,,,,11.6,,,94,91,92,,17.744,82.256,,
78.88536585,3.970482652,22238.66454,1.734842951,3.073119872,7.447399299,0.447925231,5.3,6.3,2.1,3.900000095,93.52,101.91,88.09,1.508666667,17.9282,99.2,19.45613095,68.09211711,12.45175194,0.812842624,3.343184975,1.8,,,,,,,0.07192,5.54994,11.2,,,90,,96,,20.897,79.103,,100
79.13658537,4.917762714,24190.24962,2.719439957,4.604821859,7.43530276,0.442661611,5.3,6.2,,3.4,91.44,96.06,89.04,1.488,16.8338,99.3,19.163674,68.27134994,12.56497606,0.931281553,3.374464866,1.8,99.11182773,98.21184881,99.78214849,76.79699787,33.3,,0.07949,5.442,10.7,6.028967351,27.14836299,89,,96,28.2,20.522,79.478,100,100
79.33902439,1.405527597,23738.18072,2.52512014,2.024166942,7.423096252,0.431254025,5.2,6.2,1.8871,3.700000048,84.91,79.54,94.07,1.5104,15.7394,99.3,18.83724498,68.48999677,12.67275825,1.086350966,3.41132324,1.8,99.11573044,98.21967152,99.78371373,76.79739612,,,,4.96956,10.7,6.301195174,27.19841599,89,,95,,20.19,79.81,100,100
79.4902439,3.42214615,24169.28473,2.258394409,0.840776592,7.42474578,0.41019798,5.2,6.1,1.8969,3.700000048,82.25,70.44,98.31,1.5014,14.645,99.3,18.54677087,68.68572505,12.76750408,1.087447927,3.448622039,1.9,99.11664658,98.22150866,99.78408068,76.79748907,,,,5.01073,10.5,6.438460946,27.56201625,88,,95,,20.112,79.888,100,100
